Cmdline: /system/bin/simpleperf record --app com.paifa.ubikitouch --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --duration 9 -f 400 -g
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 4560
Event count: 22316617954

Children  Self   Command               Pid    Tid    Shared Object                                                                                               Symbol
6.20%     0.02%  RenderThread          31119  31314  /system/lib64/libhwui.so                                                                                    std::__1::__function::__func<GrDeferredProxyUploader::scheduleUpload(GrOpFlushState*, GrTextureProxy*)::'lambda'(std::__1::function<bool (GrTextureProxy*, SkIRect, GrColorType, void const*, unsigned long)>&), std::__1::allocator<GrDeferredProxyUploader::scheduleUpload(GrOpFlushState*, GrTextureProxy*)::'lambda'(std::__1::function<bool (GrTextureProxy*, SkIRect, GrColorType, void const*, unsigned long)>&)>, void (std::__1::function<bool (GrTextureProxy*, SkIRect, GrColorType, void const*, unsigned long)>&)>::operator()(std::__1::function<bool (GrTextureProxy*, SkIRect, GrColorType, void const*, unsigned long)>&)
5.88%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.node.MeasureAndLayoutDelegate.measureAndLayout-0kLqBqw
5.88%     0.03%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       art::(anonymous namespace)::CheckJNI::CallMethodV(char const*, _JNIEnv*, _jobject*, _jclass*, _jmethodID*, std::__va_list, art::Primitive::Type, art::InvokeType) (.__uniq.99033978352804627313491551960229047428)
5.80%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.layout.LayoutNodeSubcompositionsState.subcompose
5.79%     2.33%  com.paifa.ubikitouch  31119  31119  /apex/com.android.art/lib64/libart.so                                                                       NterpGetMethod
5.77%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.node.NodeCoordinator.drawContainedDrawModifiers
5.76%     0.03%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.platform.GraphicsLayerOwnerLayer.updateDisplayList
5.72%     0.00%  com.paifa.ubikitouch  31119  31119  /data/app/~~q4q_kPr-4iCS3LM4mpU8iQ==/com.paifa.ubikitouch-v_XPuiyDKHTwTWwicuZyDQ==/base.apk!/classes17.dex  androidx.compose.ui.layout.LayoutNodeSubcompositionsState.subcomposeInto
5.72%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.graphics.layer.GraphicsLayer.record-mL-hObY
5.72%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.graphics.layer.GraphicsLayer.recordInternal
